____________________
|   N   |     x*   |
|_______|__________|
|      1|  -0.79042|
|_______|__________|
|      2| -0.985097|
|_______|__________|
|      3| -0.991145|
|_______|__________|
|      4| -0.964647|
|_______|__________|
|      5| -0.985097|
|_______|__________|
|      6| -0.996281|
|_______|__________|
|      7| -0.991145|
|_______|__________|
|      8| -0.985097|
|_______|__________|
|      9| -0.995088|
|_______|__________|
|     10| -0.995754|
|_______|__________|
|     11| -0.991145|
|_______|__________|
|     12| -0.993677|
|_______|__________|
|     13| -0.996281|
|_______|__________|
|     14| -0.994983|
|_______|__________|
|     15| -0.992522|
|_______|__________|
|     16| -0.995804|
|_______|__________|
|     17| -0.996141|
|_______|__________|
|     18| -0.994384|
|_______|__________|
|     19| -0.995088|
|_______|__________|
|     20| -0.996281|
|_______|__________|
|     21| -0.995754|
|_______|__________|
|     22| -0.994357|
|_______|__________|
|     23| -0.996009|
|_______|__________|
|     24| -0.996238|
|_______|__________|
|     25|  -0.99535|
|_______|__________|
|     26| -0.995576|
|_______|__________|
|     27| -0.996281|
|_______|__________|
|     28| -0.996021|
|_______|__________|
|     29| -0.995088|
|_______|__________|
|     30| -0.996099|
|_______|__________|
|     31| -0.996273|
|_______|__________|
|     32| -0.995754|
|_______|__________|
|     33| -0.995804|
|_______|__________|
|     34| -0.996281|
|_______|__________|
|     35| -0.996141|
|_______|__________|
|     36| -0.995481|
|_______|__________|
|     37| -0.996147|
|_______|__________|
|     38| -0.996287|
|_______|__________|
|     39| -0.995957|
|_______|__________|
|     40| -0.995931|
|_______|__________|
|     41| -0.996281|
|_______|__________|
|     42| -0.996203|
|_______|__________|
|     43| -0.995754|
|_______|__________|
|     44| -0.996176|
|_______|__________|
|     45| -0.996294|
|_______|__________|
|     46| -0.996071|
|_______|__________|
|     47| -0.996009|
|_______|__________|
|     48| -0.996281|
|_______|__________|
|     49| -0.996238|
|_______|__________|
|     50| -0.995917|
|_______|__________|
|     51| -0.996196|
|_______|__________|
|     52| -0.996297|
|_______|__________|
|     53| -0.996141|
|_______|__________|
|     54| -0.996062|
|_______|__________|
|     55| -0.996281|
|_______|__________|
|     56| -0.996259|
|_______|__________|
|     57| -0.996021|
|_______|__________|
|     58| -0.996209|
|_______|__________|
|     59| -0.996299|
|_______|__________|
|     60| -0.996186|
|_______|__________|
